frame,time,index,x,y,z,visibility,presence,landmark_type
1,0,0,0.48467808961868286,0.3909325897693634,-0.27579620480537415,0.9999852180480957,0.9999737739562988,0
1,0,1,0.49179890751838684,0.3771010637283325,-0.24814029037952423,0.9999730587005615,0.9999364614486694,0
1,0,2,0.4960680305957794,0.37686842679977417,-0.24814029037952423,0.999972939491272,0.9999324083328247,0
1,0,3,0.5000466704368591,0.3764917850494385,-0.24814029037952423,0.9999750852584839,0.99991774559021,0
1,0,4,0.4768243730068207,0.37675684690475464,-0.2502383291721344,0.9999549388885498,0.9999394416809082,0
1,0,5,0.47135478258132935,0.37584608793258667,-0.25042906403541565,0.9999583959579468,0.9999313354492188,0
1,0,6,0.46605613827705383,0.37451252341270447,-0.25042906403541565,0.9999632835388184,0.9999209642410278,0
1,0,7,0.5070585012435913,0.37941527366638184,-0.07695972919464111,0.9999629259109497,0.9999417066574097,0
1,0,8,0.45946407318115234,0.376695454120636,-0.08668698370456696,0.9998568296432495,0.99991774559021,0
1,0,9,0.49370670318603516,0.40408408641815186,-0.20961275696754456,0.9999793767929077,0.9999738931655884,0
1,0,10,0.47435054183006287,0.40343594551086426,-0.2130458950996399,0.9999620914459229,0.9999651908874512,0
1,0,11,0.5490288138389587,0.45099151134490967,0.02200552448630333,0.9999251365661621,0.999823272228241,0
1,0,12,0.4239768385887146,0.44974827766418457,0.003060627495869994,0.9996672868728638,0.999376118183136,0
1,0,13,0.5639837980270386,0.5500726699829102,-0.02558171935379505,0.954647421836853,0.9997219443321228,0
1,0,14,0.4155920445919037,0.5529777407646179,-0.19073043763637543,0.9667888283729553,0.9989637136459351,0
1,0,15,0.5474216341972351,0.608285665512085,-0.1858668178319931,0.9436599016189575,0.9997346997261047,0
1,0,16,0.44566988945007324,0.47078460454940796,-0.5138278007507324,0.986415684223175,0.9999586343765259,0
1,0,17,0.5442562103271484,0.6333178281784058,-0.22201022505760193,0.8957052826881409,0.9995678067207336,0
1,0,18,0.4492819607257843,0.44656383991241455,-0.578676164150238,0.9742394685745239,0.9999556541442871,0
1,0,19,0.5354576706886292,0.6249971985816956,-0.24680520594120026,0.8918110132217407,0.99964439868927,0
1,0,20,0.44764095544815063,0.4388822317123413,-0.5740986466407776,0.9723097085952759,0.9999645948410034,0
1,0,21,0.5340648889541626,0.6166754961013794,-0.1975967288017273,0.8637367486953735,0.9997305274009705,0
1,0,22,0.44774115085601807,0.44425129890441895,-0.5180238485336304,0.9548162817955017,0.9999730587005615,0
1,0,23,0.5277663469314575,0.6215726733207703,-0.000494334555696696,0.9998286962509155,0.9998352527618408,0
1,0,24,0.4527018964290619,0.624440610408783,0.0008001737878657877,0.9997546076774597,0.9997997879981995,0
1,0,25,0.5552687644958496,0.6824535727500916,-0.4989508092403412,0.9974589943885803,0.9998666048049927,0
1,0,26,0.4185991883277893,0.6798745393753052,-0.5088688135147095,0.9957518577575684,0.9998944997787476,0
